Code,Name
1,1 - INFANTE-PASSEIO ALEGRE
106,ZF - VALADARES (ESTAÇÃO)-FRANCELOS
107,ZC - ESTÁDIO DO DRAGÃO - AREIAS
10M,10M - AV.ALIADOS - VILA D''ESTE
11M,11M - HOSP. S. JOÃO - COIMBRÕES
12M,12M - AV.ALIADOS - STO.OVÍDIO
13M,13M - AV.ALIADOS - MATOSINHOS (MERCADO)
18,18 - PASSEIO ALEGRE - CARMO
1M,1M - AV.ALIADOS - MATOSINHOS (PRAIA)
200,200 - BOLHÃO-CAST. QUEIJO
201,201 - ALIADOS-VISO
202,202 - ALIADOS-PASSEIO ALEGRE (VIA AV. BESSA)
203,203 - MARQUÊS - CAST.QUEIJO
204,204 - HOSPITAL DE S.JOÃO - FOZ
205,205 - CAMPANHÃ-CASTELO DO QUEIJO
206,206 - CAMPANHÃ-VISO
207,207 - CAMPANHÃ-MERCADO DA FOZ
208,208 - ALIADOS-ALDOAR
209,209 - PASTELEIRA-PRELADA
300,300 - CIRCULAR HOSPITAL DE S.JOÃO-ALIADOS
301,301 - CIRCULAR HOSPITAL S.JOÃO-SÁ DA BANDEIR
302,302 - CIRCULAR ALIADOS-DAMIÃO DE GOIS
303,303 - CIRCULAR PRAÇA DA LIBERDADE-CONSTITUIÇ
304,304 - ALIADOS-STA. LUZIA
305,305 - CORDOARIA-HOSPITAL DE S.JOÃO
3M,3M - AV.ALIADOS - AEROPORTO
400,400 - ALIADOS-PARQUE NASCENTE
401,401 - BOLHÃO-S.ROQUE
402,402 - BOAVISTA - S.ROQUE
403,403 -  BOAVISTA (CASA MÚSICA)-CAMPANHÃ
4M,4M - AV.ALIADOS - MAIA (CÂMARA)
500,500 - PRAÇA LIBERDADE-MATOSINHOS (MERCADO)
501,501 - ALIADOS-MATOSINHOS (PRAIA)
502,502 - BOLHÃO-MATOSINHOS (MERCADO)
503,503 - BOAVISTA (BOM SUCESSO)- GATÕES
504,504 - BOAVISTA - NORTESHOPPING
505,505 - HOSPITAL S. JOÃO-MATOSINHOS (MERCADO)
506,506 - HOSPITAL S.JOÃO-MATOSINHOS (MERCADO)
507,507 - CORDOARIA-MAR SHOPPING
508,508 - BOAVISTA - CABO DO MUNDO (Via MAR Shop.)
5M,5M - AV.ALIADOS - ERMESINDE (ESTAÇÃO)
600,600 - ALIADOS-MAIA(BARCA)
601,601 - CORDOARIA-AEROPORTO (Via MAR Shopping)
602,602 - CORDOARIA-AEROPORTO (VIA PADRÃO MOREIRA
603,603 - MARQUÊS-MAIA
604,604 - HOSPITAL S.JOÃO-AEROPORTO(VIA CRESTINS)
700,700 - BOLHÃO - CAMPO
701,701 - BOLHÃO-CODICEIRA
702,702 - BOLHÃO-TRAVAGEM
703,703 - CORDOARIA-SONHOS
704,704 - BOAVISTA - CODICEIRA
705,705 - HOSPITAL S. JOÃO-VALONGO (CONTINENTE)
706,706 - H.S.JOÃO - ERMESINDE(EST)VIA MTE PENEDO
707,707 - H.S.JOÃO-ERMESINDE(EST)VIA ARREGADAS
7M,7M - AV.ALIADOS - VALONGO
800,800 - BOLHÃO-GONDOMAR
801,801 - CORDOARIA-S.PEDRO DA COVA
803,803 - BOAVISTA-RIO TINTO(Esc. Sec.)
804,804 - HOSPITAL S.JOÃO-S.PEDRO DA COVA
805,805 - MARQUÊS-RIO TINTO (ESTAÇÃO)
806,806 - MARQUÊS - FÂNZERES (METRO)
8M,8M - AV.ALIADOS - S.PEDRO DA COVA
901,901 - TRINDADE-VALADARES
902,902 - BOAVISTA - LAVADORES
903,903 - BOAVISTA-VILAR DO PARAÍSO
904,904 - BOLHÃO-COIMBRÕES
905,905 - BOLHÃO-MONTE DA VIRGEM
906,906 - TRINDADE-MADALENA
907,907 - BOAVISTA-VILA D''ESTE
910,900P - CORDOARIA - S. BENTO
920,900G - PTE. LUÍZ I - STO. OVÍDIO
9M,9M - ROTUNDA AEP - GONDOMAR (VIA H. S. João)
V94,700_V94 - BOLHÃO-CAMPO
