Code,Name,Zone,Latitude,Longitude
1AL2,AV.ALIADOS,PRT1,41.14954216,-8.610023615
1AL5,ALIADOS,PRT1,41.14969203,-8.611312751
1AL6,AV.ALIADOS,PRT1,41.14914497,-8.609964267
1BS8,BOM SUCESSO,PRT1,41.15527104,-8.628342932
1CAM1,CARLOS AMARANTE,PRT3,41.17567866,-8.614147205
1CDR2,RUA CÂNDIDO DOS REIS,MTS1,41.19931569,-8.657616107
1HSJ2,HOSP. S. JOÃO (URGÊNCIA),PRT3,41.18351789,-8.602873081
1SBNT,S.BENTO,PRT1,41.14488718,-8.610791542
1SBNT2,EST.S.BENTO,PRT1,41.14485439,-8.610709474
1SGZ1,AV. SALGADO ZENHA,MTS1,41.19516739,-8.660840855
1SGZ2,AV. SALGADO ZENHA,MTS1,41.19514114,-8.66067376
25A1,25 DE ABRIL,GDM1,41.14436248,-8.532388455
25A2,25 DE ABRIL,GDM1,41.14437411,-8.532242198
25AB1,25 DE ABRIL,VLG1,41.19192762,-8.503002896
25AB2,25 DE ABRIL,VLG1,41.19175945,-8.503440722
28J1,28 DE JANEIRO,VNG1,41.13724985,-8.633423514
28J2,28 DE JANEIRO,VNG1,41.13674175,-8.633093791
31JA3,31 DE JANEIRO,MTS2,41.22589684,-8.684105266
31JA4,31 DE JANEIRO,MTS2,41.22722313,-8.685416366
4CAM3,4 CAMINHOS,MAI4,41.20609231,-8.52890528
4CAM4,4 CAMINHOS,MAI4,41.20612494,-8.52875891
5OTB2,5 DE OUTUBRO,MAI1,41.22533818,-8.609707818
5OTB3,5 DE OUTUBRO,MAI1,41.22564322,-8.609972406
5OTR1,5 DE OUTUBRO,MAI4,41.21786483,-8.547014578
5OTR2,5 DE OUTUBRO,MAI4,41.2179806,-8.547080228
5OUT1,5 DE OUTUBRO,MAI4,41.19923779,-8.584650725
5OUT2,5 DE OUTUBRO,MAI4,41.19968235,-8.584737773
9AG1,9 DE AGOSTO,MAI4,41.21149145,-8.532002388
9AG2,9 DE AGOSTO,MAI4,41.21192106,-8.532143423
A25A1,AV. 25 DE ABRIL,PRT1,41.15554463,-8.586041622
AA1,ALTO DA AREOSA,PRT3,41.17882839,-8.583950041
AA2,ALTO DA AREOSA,PRT3,41.17884893,-8.584082994
AAL1,AV.ALIADOS,PRT1,41.14897708,-8.611283535
AAL2,AV. ALIADOS,PRT1,41.14884591,-8.610426658
AAL4,AV.ALIADOS,PRT1,41.14853967,-8.610531276
AAL5,AV.ALIADOS,PRT1,41.14824177,-8.610636677
AALB,AFONSO  ALBUQUERQUE,PRT2,41.15884721,-8.66224569
AALM1,ANTÃO DE ALMADA,MAI4,41.19232279,-8.570668883
AANT1,ALAMEDA DAS ANTAS,PRT1,41.16274043,-8.585969193
AANT2,ALAMEDA DAS ANTAS,PRT1,41.16322154,-8.58576101
AANT5,ALAMEDA DAS ANTAS,PRT1,41.16317638,-8.583117623
AAS1,ANTÓNIO  AUG.SILVA,GDM1,41.16741132,-8.558760816
AAS2,ANTÓNIO  AUG.SILVA,GDM1,41.16768135,-8.557969571
AAX1,ANTONIO ALEIXO,MAI1,41.21851864,-8.613938998
AAX2,ANTONIO ALEIXO,MAI1,41.21847673,-8.614129568
ABL1,ABELHEIRA,MTS1,41.20623829,-8.665615447
ABL2,ABELHEIRA,MTS1,41.20617843,-8.665816146
ABM1,ALBERTO MACEDO,PRT2,41.16725779,-8.654555625
ABM2,ALBERTO MACEDO,PRT2,41.1670906,-8.654521016
ABMG1,ABADE MONDEGO,MTS2,41.21422919,-8.693960263
ABMG2,ABADE MONDEGO,MTS2,41.21446042,-8.694027502
ABSS1,AV. DO BESSA,PRT1,41.16530645,-8.643043701
ABSS2,AV. DO BESSA,PRT1,41.16506265,-8.643093027
ABVT1,AV.DA BOAVISTA,PRT2,41.16286544,-8.663338557
ABVT2,AV.DA BOAVISTA,PRT2,41.16299138,-8.663156217
ABX1,ALDEIA  BAIXO,MTS2,41.22011257,-8.671595216
ABX2,ALDEIA DE BAIXO,MTS2,41.21996857,-8.671582107
AC3,ALTINO  COELHO,MAI1,41.23947035,-8.621393119
AC4,ALTINO  COELHO,MAI1,41.23947859,-8.621572105
ACAR,ANTÓNIO  CARNEIRO,MTS1,41.17722519,-8.675699994
ACB1,AREIAS CABEDELO,VNG5,41.13189397,-8.663202355
ACB2,AREIAS CABEDELO,VNG5,41.13180855,-8.663046475
ACBL1,ÁLVARES CABRAL,VNG4,41.0856773,-8.655715006
ACBL2,ÁLVARES CABRAL,VNG4,41.08576637,-8.655578983
ACD1,AFONSO CORDEIRO,MTS1,41.17884741,-8.684842056
ACD3,AFONSO CORDEIRO,MTS1,41.18040815,-8.687115366
ACDR1,ALAM. CEDRO,VNG1,41.10930601,-8.608925187
ACDR2,ALAMEDA CEDRO,VNG1,41.10954961,-8.608807902
ACH1,ALTO CHAQUEDAS,VNG4,41.11171345,-8.653848856
ACH2,ALTO CHAQUEDAS,VNG4,41.11212369,-8.652733014
ACN1,ANTÓNIO CÂNDIDO,PRT1,41.16450546,-8.610424983
ACNT1,ALBERTO O CANTADOR,VNG4,41.09760757,-8.634812038
ACNT2,ALBERTO O CANTADOR,VNG4,41.09773398,-8.634729684
ACO1,ANTÓNIO COELHO,PRT3,41.1774381,-8.58488193
ACO2,ANTÓNIO COELHO,PRT3,41.17696918,-8.58533073
ACRD1,ANTÓNIO CARDOSO,PRT1,41.15987023,-8.639871945
ACRD2,ANTÓNIO CARDOSO,PRT1,41.15963742,-8.63984479
ACST2,ÁLVARO CASTELÕES,PRT1,41.16654922,-8.601600486
ADA2,ARCA D ÁGUA,PRT1,41.17190666,-8.614431387
ADA3,ARCA D ÁGUA,PRT1,41.17075308,-8.61287966
ADA4,ARCA D ÁGUA,PRT1,41.17081781,-8.612724314
ADM1,ALTINO DOMINGUES MOREIRA,VCD8,41.23917259,-8.660241218
ADNV1,ALDEIA NOVA,VLG2,41.22964741,-8.527589194
ADNV2,ALDEIA NOVA,VLG2,41.22944822,-8.527910009
AEC1,ALAM.EMPRESA,VNG1,41.13632566,-8.627945411
AEC2,ALAM.EMPRESA,VNG1,41.13620227,-8.627901398
AEP,ASSOC. EMP. PORTUGAL,MTS2,41.19491524,-8.689387719
AEP1,ASSOC. EMP. PORTUGAL,MTS2,41.19484679,-8.689502048
AEPT1,AEROPORTO,VCD8,41.23691113,-8.670278173
AF1,ÁGUAS FERREAS,VLG1,41.18373357,-8.48393039
AF2,ÁGUAS FERREAS,VLG1,41.18433645,-8.484912471
AFEI1,AREOSA (FEIRA),MAI4,41.18550518,-8.581496194
AFEI2,AREOSA (FEIRA),MAI4,41.18599367,-8.581256468
AFHQ3,AFONSO  HENRIQUES,MTS1,41.18066792,-8.68340919
