service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
DU,1,1,1,1,1,0,0,20210910,20220730
DS,0,0,0,0,0,1,0,20210910,20220730
DDF,0,0,0,0,0,0,1,20210910,20220730
FGInvernoA,1,1,1,1,0,0,1,20210915,20220531
FGInvernoB,0,0,0,0,1,1,0,20210915,20220531
FGVeraoA,1,1,1,0,0,0,1,20220601,20220914
FGVeraoB,0,0,0,1,1,1,0,20220601,20220914
AU,1,1,1,1,1,0,0,20210910,20220730
AS,0,0,0,0,0,1,0,20210910,20220730
ADF,0,0,0,0,0,0,1,20210910,20220730
AUT,1,1,1,1,1,0,0,20210910,20220730
AST,0,0,0,0,0,1,0,20210910,20220730
ADFT,0,0,0,0,0,0,1,20210910,20220730
BU,1,1,1,1,1,0,0,20210910,20220730
BS,0,0,0,0,0,1,0,20210910,20220730
BDF,0,0,0,0,0,0,1,20210910,20220730
BexU,1,1,1,1,1,0,0,20210910,20220730
BexS,0,0,0,0,0,1,0,20210910,20220730
BexDF,0,0,0,0,0,0,1,20210910,20220730
EU,1,1,1,1,1,0,0,20210910,20220730
ES,0,0,0,0,0,1,0,20210910,20220730
EDF,0,0,0,0,0,0,1,20210910,20220730
CU,1,1,1,1,1,0,0,20210910,20220730
CS,0,0,0,0,0,1,0,20210910,20220730
CDF,0,0,0,0,0,0,1,20210910,20220730
CUF,1,1,1,1,1,0,0,20210910,20220730
CSF,0,0,0,0,0,1,0,20210910,20220730
FU,1,1,1,1,1,0,0,20210910,20220730
FS,0,0,0,0,0,1,0,20210910,20220730
FDF,0,0,0,0,0,0,1,20210910,20220730
CDFF,0,0,0,0,0,0,1,20210910,20220730
