trip_id,start_time,end_time,headway_secs,exact_time
DU0,06:00:00,20:59:00,720,1
DUPU0,07:00:00,20:59:00,360,1
DU0,21:00:00,25:00:00,720,1
DU1,06:00:00,20:59:00,720,1
DUPU1,07:00:00,20:59:00,360,1
DU1,21:00:00,25:00:00,720,1
DS0,06:00:00,06:59:00,900,1
DS0,07:00:00,19:59:00,600,1
DS0,20:00:00,25:00:00,900,1
DS1,06:00:00,06:59:00,900,1
DS1,07:00:00,19:59:00,600,1
DS1,20:00:00,25:00:00,900,1
DDF0,06:00:00,06:59:00,900,1
DDF0,07:00:00,19:59:00,600,1
DDF0,20:00:00,25:00:00,900,1
DDF1,06:00:00,06:59:00,900,1
DDF1,07:00:00,19:59:00,600,1
DDF1,20:00:00,25:00:00,900,1
AU0,06:00:00,06:59:00,900,1
AU0,07:00:00,09:59:00,720,1
AU0,10:00:00,15:59:00,900,1
AU0,16:00:00,19:59:00,720,1
AU0,20:00:00,25:00:00,900,1
AU1,06:00:00,06:59:00,900,1
AU1,07:00:00,09:59:00,720,1
AU1,10:00:00,15:59:00,900,1
AU1,16:00:00,19:59:00,720,1
AU1,20:00:00,25:00:00,900,1
AS0,06:00:00,25:00:00,900,1
AS1,06:00:00,25:00:00,900,1
ADF0,06:00:00,25:00:00,900,1
ADF1,06:00:00,25:00:00,900,1
FGIA0,08:00:00,20:00:00,480,1
FGIA1,08:00:00,20:00:00,480,1
FGIB0,08:00:00,24:00:00,480,1
FGIB1,08:00:00,24:00:00,480,1
FGVA0,08:00:00,22:00:00,480,1
FGVA1,08:00:00,22:00:00,480,1
FGVB0,08:00:00,24:00:00,480,1
FGVB1,08:00:00,24:00:00,480,1
