From,To,Weight
node0,node1,1
node0,node4,1
node1,node0,1
node1,node2,1
node1,node5,1
node2,node1,1
node2,node3,1
node2,node6,0.5
node3,node2,1
node3,node7,3
node4,node0,1
node4,node5,2
node4,node8,1
node5,node1,1
node5,node4,2
node5,node6,1
node5,node9,2
node6,node2,0.5
node6,node5,1
node6,node7,2
node6,node10,3
node7,node3,3
node7,node6,2
node7,node11,2
node8,node4,1
node8,node9,1
node8,node12,1
node9,node5,2
node9,node8,1
node9,node10,2
node9,node13,1
node10,node6,3
node10,node9,2
node10,node11,1
node10,node14,0.5
node11,node7,2
node11,node10,1
node11,node15,3
node12,node8,1
node12,node13,2
node13,node9,1
node13,node12,2
node13,node14,1
node14,node10,0.5
node14,node13,1
node14,node15,2
node15,node11,3
node15,node14,2
