Path Nodes Distance
1 87 7 1275
2 1 10 1359
3 86 5 1310
4 15 9 970
5 41 3 1086
6 10 3 1416
7 58 6 564
8 2 7 1599
9 96 3 609
10 60 6 1179
11 16 5 537
12 71 9 1080
13 51 4 600
14 94 3 1237
15 88 7 488
16 100 3 786
17 2 5 1299
18 77 8 831
19 44 10 1043
20 27 4 1480
21 12 2 511
22 41 10 1001
23 4 10 1331
24 40 1 1102
25 36 1 1311
26 64 1 1592
27 30 6 531
28 59 2 1089
29 87 6 949
30 76 8 1032
31 39 10 849
32 37 1 950
33 59 3 630
34 50 1 1096
35 49 4 1034
36 31 5 918
37 33 4 883
38 48 4 735
39 73 5 826
40 45 6 1166
41 73 10 647
42 24 9 1202
43 60 6 1044
44 16 5 1482
45 97 7 965
46 48 5 1416
47 84 10 1252
48 41 7 1502
49 62 6 883
50 27 1 645
